AUDIT_ID,EXCEPTION_ID,TIMESTAMP,STAGE,AGENT,ACTION,DECISION,REASON,EVIDENCE
AUD-EXC-0073,EXC-0073,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0074,EXC-0074,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0075,EXC-0075,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0076,EXC-0076,2026-09-12 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 8%.
AUD-EXC-0077,EXC-0077,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0078,EXC-0078,2026-09-12 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0079,EXC-0079,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0080,EXC-0080,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0081,EXC-0081,2026-09-11 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0082,EXC-0082,2026-09-15 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0083,EXC-0083,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 11%.
AUD-EXC-0084,EXC-0084,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 12%.
AUD-EXC-0085,EXC-0085,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Purchase order price differs from current contractual pricing.
AUD-EXC-0086,EXC-0086,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0087,EXC-0087,2026-09-12 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Purchase order price differs from current contractual pricing.
AUD-EXC-0088,EXC-0088,2026-09-17 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 19%.
AUD-EXC-0089,EXC-0089,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0090,EXC-0090,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0091,EXC-0091,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0092,EXC-0092,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0093,EXC-0093,2026-09-11 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0094,EXC-0094,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0095,EXC-0095,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Purchase order price differs from current contractual pricing.
AUD-EXC-0096,EXC-0096,2026-09-11 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0097,EXC-0097,2026-09-11 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0098,EXC-0098,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Purchase order price differs from current contractual pricing.
AUD-EXC-0099,EXC-0099,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0100,EXC-0100,2026-09-17 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0101,EXC-0101,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0102,EXC-0102,2026-09-12 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Purchase order price differs from current contractual pricing.
AUD-EXC-0103,EXC-0103,2026-09-17 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0104,EXC-0104,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0105,EXC-0105,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0106,EXC-0106,2026-09-15 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0107,EXC-0107,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0108,EXC-0108,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 19%.
