EXCEPTION_ID,DETECTED_AT,EXCEPTION_TYPE,ENTITY_TYPE,ENTITY_ID,SEVERITY,STATUS,DESCRIPTION
EXC-0021,2026-09-16 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-001146-1,HIGH,OPEN,Shipment missed committed delivery date.
EXC-0022,2026-09-12 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-003719,HIGH,OPEN,Invoice payment conditions violate policy.
EXC-0023,2026-09-16 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-003481,HIGH,OPEN,Invoice amount differs from PO amount by 8%.
EXC-0024,2026-09-14 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-002935-1,LOW,OPEN,Shipment missed committed delivery date.
EXC-0025,2026-09-15 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-002693,HIGH,OPEN,Invoice payment conditions violate policy.
EXC-0026,2026-09-16 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-004491,HIGH,OPEN,Invoice amount differs from PO amount by 12%.
EXC-0027,2026-09-12 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-000317,MEDIUM,OPEN,Invoice amount differs from PO amount by 7%.
EXC-0028,2026-09-14 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-002677,LOW,OPEN,Invoice payment conditions violate policy.
EXC-0029,2026-09-16 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-000653,MEDIUM,OPEN,Invoice payment conditions violate policy.
EXC-0030,2026-09-11 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-002464,LOW,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0031,2026-09-16 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-002327-2,LOW,OPEN,Order records contain conflicting state.
EXC-0032,2026-09-16 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-003413,HIGH,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0033,2026-09-16 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-001641-1,LOW,OPEN,Order records contain conflicting state.
EXC-0034,2026-09-13 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-002919,HIGH,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0035,2026-09-13 00:00:00,CONTRACT_PRICE_DRIFT,PURCHASE_ORDER,PO-000866,HIGH,OPEN,Purchase order price differs from current contractual pricing.
EXC-0036,2026-09-10 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-002914,LOW,OPEN,Invoice amount differs from PO amount by 8%.
EXC-0037,2026-09-16 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-000688,MEDIUM,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0038,2026-09-13 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-000963-1,MEDIUM,OPEN,Order records contain conflicting state.
EXC-0039,2026-09-17 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-004670,MEDIUM,OPEN,Invoice amount differs from PO amount by 7%.
EXC-0040,2026-09-16 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-004236,LOW,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0041,2026-09-16 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-004163,MEDIUM,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0042,2026-09-11 00:00:00,CONTRACT_PRICE_DRIFT,PURCHASE_ORDER,PO-002205,HIGH,OPEN,Purchase order price differs from current contractual pricing.
EXC-0043,2026-09-16 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-001635,MEDIUM,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0044,2026-09-14 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-001968,LOW,OPEN,Invoice amount differs from PO amount by 7%.
EXC-0045,2026-09-15 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-001490,MEDIUM,OPEN,Invoice payment conditions violate policy.
EXC-0046,2026-09-10 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-000835,LOW,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0047,2026-09-15 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-001831-3,LOW,OPEN,Order records contain conflicting state.
EXC-0048,2026-09-10 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-001416-1,LOW,OPEN,Order records contain conflicting state.
EXC-0049,2026-09-10 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-002709-1,MEDIUM,OPEN,Shipment missed committed delivery date.
EXC-0050,2026-09-14 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-000872,LOW,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0051,2026-09-13 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-003742,MEDIUM,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0052,2026-09-11 00:00:00,CONTRACT_PRICE_DRIFT,PURCHASE_ORDER,PO-004854,HIGH,OPEN,Purchase order price differs from current contractual pricing.
EXC-0053,2026-09-16 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-003728,MEDIUM,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0054,2026-09-13 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-003407,LOW,OPEN,Invoice amount differs from PO amount by 11%.
EXC-0055,2026-09-15 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-001517,HIGH,OPEN,Invoice amount differs from PO amount by 7%.
EXC-0056,2026-09-12 00:00:00,CONTRACT_PRICE_DRIFT,PURCHASE_ORDER,PO-000028,HIGH,OPEN,Purchase order price differs from current contractual pricing.
EXC-0057,2026-09-12 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-003860-1,MEDIUM,OPEN,Order records contain conflicting state.
EXC-0058,2026-09-13 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-002575,HIGH,OPEN,Invoice amount differs from PO amount by 11%.
EXC-0059,2026-09-17 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-002119,HIGH,OPEN,Invoice amount differs from PO amount by 19%.
EXC-0060,2026-09-16 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-002400-1,HIGH,OPEN,Order records contain conflicting state.
EXC-0061,2026-09-12 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-000785-2,HIGH,OPEN,Shipment missed committed delivery date.
EXC-0062,2026-09-16 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-003661-1,MEDIUM,OPEN,Shipment missed committed delivery date.
EXC-0063,2026-09-16 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-000097-2,HIGH,OPEN,Shipment missed committed delivery date.
EXC-0064,2026-09-13 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-000334-2,HIGH,OPEN,Shipment missed committed delivery date.
EXC-0065,2026-09-17 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-001095,HIGH,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0066,2026-09-16 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-003939,MEDIUM,OPEN,Invoice payment conditions violate policy.
EXC-0067,2026-09-11 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-003867,LOW,OPEN,Invoice payment conditions violate policy.
EXC-0068,2026-09-14 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-004451,HIGH,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0069,2026-09-16 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-003819,MEDIUM,OPEN,Invoice amount differs from PO amount by 12%.
EXC-0070,2026-09-16 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-000534-1,MEDIUM,OPEN,Shipment missed committed delivery date.
EXC-0071,2026-09-10 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-000800-1,LOW,OPEN,Order records contain conflicting state.
EXC-0072,2026-09-13 00:00:00,CONTRACT_PRICE_DRIFT,PURCHASE_ORDER,PO-002693,HIGH,OPEN,Purchase order price differs from current contractual pricing.
EXC-0073,2026-09-10 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-004309,MEDIUM,OPEN,Invoice payment conditions violate policy.
EXC-0074,2026-09-14 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-003874,HIGH,OPEN,Invoice payment conditions violate policy.
EXC-0075,2026-09-14 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-004816,MEDIUM,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0076,2026-09-12 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-001005,HIGH,OPEN,Invoice amount differs from PO amount by 8%.
EXC-0077,2026-09-16 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-004511-2,LOW,OPEN,Order records contain conflicting state.
EXC-0078,2026-09-12 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-001004-4,HIGH,OPEN,Shipment missed committed delivery date.
EXC-0079,2026-09-10 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-001016-4,MEDIUM,OPEN,Shipment missed committed delivery date.
EXC-0080,2026-09-14 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-003127,LOW,OPEN,Invoice payment conditions violate policy.
EXC-0081,2026-09-11 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-001797-3,HIGH,OPEN,Shipment missed committed delivery date.
EXC-0082,2026-09-15 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-004807,HIGH,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0083,2026-09-14 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-003746,LOW,OPEN,Invoice amount differs from PO amount by 11%.
EXC-0084,2026-09-10 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-001163,MEDIUM,OPEN,Invoice amount differs from PO amount by 12%.
EXC-0085,2026-09-14 00:00:00,CONTRACT_PRICE_DRIFT,PURCHASE_ORDER,PO-000147,LOW,OPEN,Purchase order price differs from current contractual pricing.
EXC-0086,2026-09-16 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-001133-1,MEDIUM,OPEN,Shipment missed committed delivery date.
EXC-0087,2026-09-12 00:00:00,CONTRACT_PRICE_DRIFT,PURCHASE_ORDER,PO-002172,MEDIUM,OPEN,Purchase order price differs from current contractual pricing.
EXC-0088,2026-09-17 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-001719,MEDIUM,OPEN,Invoice amount differs from PO amount by 19%.
EXC-0089,2026-09-14 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-000623-1,LOW,OPEN,Order records contain conflicting state.
EXC-0090,2026-09-10 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-004222,MEDIUM,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0091,2026-09-14 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-000545,LOW,OPEN,Invoice payment conditions violate policy.
EXC-0092,2026-09-14 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-003223,HIGH,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0093,2026-09-11 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-004544,MEDIUM,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0094,2026-09-14 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-001310,MEDIUM,OPEN,Invoice payment conditions violate policy.
EXC-0095,2026-09-13 00:00:00,CONTRACT_PRICE_DRIFT,PURCHASE_ORDER,PO-004515,HIGH,OPEN,Purchase order price differs from current contractual pricing.
EXC-0096,2026-09-11 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-004287-1,MEDIUM,OPEN,Order records contain conflicting state.
EXC-0097,2026-09-11 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-004585-2,HIGH,OPEN,Order records contain conflicting state.
EXC-0098,2026-09-13 00:00:00,CONTRACT_PRICE_DRIFT,PURCHASE_ORDER,PO-001749,MEDIUM,OPEN,Purchase order price differs from current contractual pricing.
EXC-0099,2026-09-10 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-003945-2,LOW,OPEN,Shipment missed committed delivery date.
EXC-0100,2026-09-17 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-004759-2,HIGH,OPEN,Shipment missed committed delivery date.
EXC-0101,2026-09-13 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-001917-3,LOW,OPEN,Shipment missed committed delivery date.
EXC-0102,2026-09-12 00:00:00,CONTRACT_PRICE_DRIFT,PURCHASE_ORDER,PO-003125,LOW,OPEN,Purchase order price differs from current contractual pricing.
EXC-0103,2026-09-17 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-004247-3,HIGH,OPEN,Order records contain conflicting state.
EXC-0104,2026-09-13 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-003482,HIGH,OPEN,Invoice payment conditions violate policy.
EXC-0105,2026-09-10 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-003110-1,LOW,OPEN,Order records contain conflicting state.
EXC-0106,2026-09-15 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-002371-1,HIGH,OPEN,Shipment missed committed delivery date.
EXC-0107,2026-09-10 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-001256,MEDIUM,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0108,2026-09-13 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-001210,MEDIUM,OPEN,Invoice amount differs from PO amount by 19%.
